"filename", "language", "Markdown", "Ini", "C++", "JSON", "Properties", "Plain Text (PDF)", "Perl", "C", "Makefile", "Processing", "HTML", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/CODE_OF_CONDUCT.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 77
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/README.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 47
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/ArduCAM.cpp", "C++", 0, 0, 2977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 161, 3273
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/ArduCAM.h", "C++", 0, 0, 528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 176, 838
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_2CAM_VideoStreaming/ArduCAM_ESP8266_2CAM_VideoStreaming.ino", "C++", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 298
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/ArduCAM_ESP8266_OV2640_Capture.ino", "C++", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 46, 277
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 2, 6, 91
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/README.md", "Markdown", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/css/materialize.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6183, 0, 448, 1795, 8426
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/css/materialize.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13, 0, 16
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/font/material-design-icons/Material-Design-Icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 769, 0, 0, 769
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/js/jquery-2.1.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/js/materialize.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4146, 0, 0, 1154, 1179, 6479
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/materialize/js/materialize.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 10
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV2640_Capture/html/video.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 2, 5, 92
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/ArduCAM_ESP8266_OV5640_Capture.ino", "C++", 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 37, 271
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 2, 6, 91
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/README.md", "Markdown", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/css/materialize.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6183, 0, 448, 1795, 8426
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/css/materialize.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13, 0, 16
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/font/material-design-icons/Material-Design-Icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 769, 0, 0, 769
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/js/jquery-2.1.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/js/materialize.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4146, 0, 0, 1154, 1179, 6479
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/materialize/js/materialize.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 10
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5640_Capture/html/video.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 2, 5, 92
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5642_Capture/ArduCAM_ESP8266_OV5642_Capture.ino", "C++", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 35, 271
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5642_Capture/html/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 2, 6, 89
"/Users/nyameaama/Documents/PlatformIO/Projects/Model Rocket/lib/ArduCAM/examples/ESP8266/ArduCAM_ESP8266_OV5642_Capture/html/materialize/README.md", "Markdown", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
